"CrsID","ARCCode","TYear","TTerm","CreditType"
859,"Elective credit only","0000","TR","TR"
860,"Elective credit only","0000","TR","TR"
863,"GE211","TR","TR","TR"
864,"ART112","TR","TR","TR"
865,"Elective credit only","0000","TR","TR"
866,"Elective credit only","TR","TR","TR"
867,"Elective credit only","TR","TR","TR"
868,"ART309","TR","TR","TR"
869,"BIO100","TR","TR","TR"
870,"CHM150","TR","TR","TR"
871,"THR120","TR","TR","TR"
872,"ECN150","TR","TR","TR"
873,"ART113","TR","TR","TR"
874,"ART111","TR","TR","TR"
875,"ELE00","TR","TR","TR"
876,"ART213","TR","TR","TR"
877,"ELE00","TR","TR","TR"
878,"ELE00","TR","TR","TR"
879,"ELE00","TR","TR","TR"
880,"ART201","TR","TR","TR"
881,"CSC101","TR","TR","TR"
882,"HST201","TR","TR","TR"
883,"DES381","TR","TR","TR"
885,"ELE00","TR","TR","TR"
886,"ELE00","TR","TR","TR"
887,"PHI315","TR","TR","TR"
888,"PSY100","TR","TR","TR"
889,"SOC100","TR","TR","TR"
890,"ELE00","TR","TR","TR"
891,"Elective credit only","0000","TR","TR"
892,"Elective credit only","0000","TR","TR"
893,"Elective credit only","0000","TR","TR"
894,"Elective credit only","0000","TR","TR"
895,"Elective credit only","0000","TR","TR"
896,"Elective credit only","0000","TR","TR"
897,"Elective credit only","0000","TR","TR"
898,"Elective credit only","0000","TR","TR"
899,"Elective credit only","0000","TR","TR"
900,"CHM201","0000","TR","TR"
901,"Elective credit only","0000","TR","TR"
902,"Elective credit only","0000","TR","TR"
904,"CSC100","0000","TR","TR"
904,"Elective credit only","0000","TR","TR"
904,"CSC101","TR","TR","TR"
908,"SOC270","0000","TR","TR"
910,"Elective credit only","TR","TR","TR"
911,"Elective credit only","0000","TR","TR"
912,"Elective credit only","0000","TR","TR"
913,"ECN201","TR","TR","TR"
914,"ECN202","TR","TR","TR"
915,"Elective credit only","0000","TR","TR"
916,"ENG101","0000","TR","TR"
917,"Elective credit only","0000","TR","TR"
918,"Elective credit only","0000","TR","TR"
920,"Elective credit only","TR","TR","TR"
921,"Elective credit only","0000","TR","TR"
922,"Elective credit only","0000","TR","TR"
923,"Elective credit only","0000","TR","TR"
924,"Elective credit only","0000","TR","TR"
925,"GEP1E","0000","TR","TR"
926,"Elective credit only","0000","TR","TR"
928,"Elective credit only","TR","TR","TR"
929,"Elective credit only","0000","TR","TR"
930,"Elective credit only","0000","TR","TR"
931,"Elective credit only","0000","TR","TR"
932,"Elective credit only","0000","TR","TR"
933,"Elective credit only","0000","TR","TR"
934,"MTH113","TR","TR","TR"
935,"MUH110","0000","TR","TR"
937,"Elective credit only","0000","TR","TR"
938,"HPE153","TR","TR","TR"
939,"Elective credit only","0000","TR","TR"
940,"PSY100","0000","TR","TR"
940,"Elective credit only","0000","TR","TR"
942,"Elective credit only","0000","TR","TR"
943,"PSY380","0000","TR","TR"
947,"SOC100","TR","TR","TR"
948,"SOC101","0000","TR","TR"
949,"SOC260","TR","TR","TR"
948,"SOC100","TR","TR","TR"
952,"Elective credit only","0000","TR","TR"
953,"Elective credit only","0000","TR","TR"
954,"TRAN001","TR","TR","TR"
954,"Elective credit only","0000","TR","TR"
956,"Elective credit only","0000","TR","TR"
957,"BIO100","TR","TR","TR"
958,"ENG101","TR","TR","TR"
959,"HPE255","TR","TR","TR"
960,"POL303","TR","TR","TR"
961,"WST200","TR","TR","TR"
962,"BIO211","TR","TR","TR"
963,"MTH105","TR","TR","TR"
964,"PSY100","TR","TR","TR"
965,"CSC101","TR","TR","TR"
966,"SOC100","TR","TR","TR"
967,"THR120","TR","TR","TR"
969,"Elective credit only","0000","TR","TR"
970,"ENG101","TR","TR","TR"
971,"GEP2","TR","TR","TR"
972,"Elective credit only","0000","TR","TR"
973,"PSY100","TR","TR","TR"
974,"Elective credit only","0000","TR","TR"
975,"Elective credit only","0000","TR","TR"
976,"PSY233","TR","TR","TR"
977,"Elective credit only","0000","TR","TR"
978,"Elective credit only","0000","TR","TR"
979,"Elective credit only","0000","TR","TR"
980,"Elective credit only","0000","TR","TR"
981,"Elective credit only","0000","TR","TR"
982,"Elective credit only","0000","TR","TR"
983,"Elective credit only","0000","TR","TR"
984,"Elective credit only","0000","TR","TR"
985,"Elective credit only","0000","TR","TR"
986,"Elective credit only","0000","TR","TR"
987,"Elective credit only","0000","TR","TR"
988,"Elective credit only","0000","TR","TR"
989,"Elective credit only","0000","TR","TR"
990,"Elective credit only","0000","TR","TR"
991,"Elective credit only","0000","TR","TR"
992,"Elective credit only","0000","TR","TR"
993,"Elective credit only","0000","TR","TR"
994,"Elective credit only","0000","TR","TR"
995,"Elective credit only","0000","TR","TR"
996,"Elective credit only","0000","TR","TR"
997,"Elective credit only","0000","TR","TR"
998,"Elective credit only","0000","TR","TR"
999,"Elective credit only","0000","TR","TR"
1000,"Elective credit only","0000","TR","TR"
1001,"Elective credit only","0000","TR","TR"
1002,"Elective credit only","0000","TR","TR"
1003,"Elective credit only","0000","TR","TR"
1004,"Elective credit only","0000","TR","TR"
1005,"Elective credit only","0000","TR","TR"
1006,"ART100","TR","TR","TR"
1007,"Elective credit only","0000","TR","TR"
1008,"Elective credit only","0000","TR","TR"
1009,"Elective credit only","0000","TR","TR"
1010,"Elective credit only","0000","TR","TR"
1011,"Elective credit only","0000","TR","TR"
1012,"Elective credit only","0000","TR","TR"
1013,"Elective credit only","0000","TR","TR"
1014,"Elective credit only","0000","TR","TR"
1015,"Elective credit only","0000","TR","TR"
1016,"Elective credit only","0000","TR","TR"
1017,"Elective credit only","0000","TR","TR"
1018,"Elective credit only","0000","TR","TR"
1019,"Elective credit only","0000","TR","TR"
1020,"Elective credit only","0000","TR","TR"
1021,"Elective credit only","0000","TR","TR"
1022,"Elective credit only","0000","TR","TR"
1023,"Elective credit only","0000","TR","TR"
1024,"Elective credit only","0000","TR","TR"
1025,"Elective credit only","0000","TR","TR"
1026,"Elective credit only","0000","TR","TR"
1027,"Elective credit only","0000","TR","TR"
1028,"Elective credit only","0000","TR","TR"
1029,"Elective credit only","0000","TR","TR"
1030,"Elective credit only","0000","TR","TR"
1031,"Elective credit only","0000","TR","TR"
1032,"Elective credit only","0000","TR","TR"
1033,"Elective credit only","0000","TR","TR"
1034,"Elective credit only","0000","TR","TR"
1035,"Elective credit only","0000","TR","TR"
1036,"Elective credit only","0000","TR","TR"
1037,"Elective credit only","0000","TR","TR"
1038,"Elective credit only","0000","TR","TR"
1039,"Elective credit only","0000","TR","TR"
1040,"Elective credit only","0000","TR","TR"
1041,"Elective credit only","0000","TR","TR"
1042,"Elective credit only","0000","TR","TR"
1043,"Elective credit only","0000","TR","TR"
1044,"Elective credit only","0000","TR","TR"
1045,"Elective credit only","0000","TR","TR"
